doc_id,source_path,doc_type,file_format,file_size_bytes,image_width,image_height,dpi,quality_score,has_blur,vendor,timestamp,checksum,quality_bin
doc_000000,data/raw/dataset1/train/receipt/1039-receipt_jpg.rf.6f99b974df9271a197488613d2b6b290.jpg,invoice,jpg,15441,416,416,300,0.1522945974040176,False,,2025-10-27T19:59:45.902102,104e86353b286daa4d030ef288654202,low
doc_000001,data/raw/dataset1/train/receipt/1056-receipt_jpg.rf.f3a924e1cd3bf511241b0472398497a8.jpg,invoice,jpg,23923,416,416,300,0.6176911871882282,False,,2025-10-27T19:59:45.919965,86722f890f0fd5205251e257cb1d25f6,medium
doc_000002,data/raw/dataset1/train/receipt/geek33_jpg.rf.c7fb56d7153a207f712cb94dbaae6a3e.jpg,invoice,jpg,45948,707,873,300,0.5869319628912633,False,,2025-10-27T19:59:45.996712,9b3218868e35494cfaa4610f8c966198,medium
doc_000003,data/raw/dataset1/train/receipt/IMG_9480_jpeg_jpg.rf.1a95b15ec345910106076189cc026455.jpg,invoice,jpg,81126,800,800,300,0.5988422401873438,False,,2025-10-27T19:59:46.069070,e29574bacfc17b060de0426ff1c216ee,medium
doc_000004,data/raw/dataset1/train/receipt/1127-receipt_jpg.rf.f43f2e740c2c59cded7d97a0f4ed104e.jpg,invoice,jpg,23728,416,416,300,0.3636151079587763,False,,2025-10-27T19:59:46.086420,2553065b60c79d10d6cde6601d8752b6,medium
doc_000005,data/raw/dataset1/train/receipt/1096-receipt_jpg.rf.9e6f06169242c4244458742bedf5751f.jpg,invoice,jpg,15911,416,416,300,0.14091784567729598,False,,2025-10-27T19:59:46.101555,23230ac30c4532af470228ca65cddf41,low
doc_000006,data/raw/dataset1/train/receipt/IMG_0006_jpeg_jpg.rf.1ec6d31739e7287463f8d222b6c82b4a.jpg,invoice,jpg,81080,800,800,300,0.4398423307543727,False,,2025-10-27T19:59:46.147509,312e5d7b0615ac8c0730598faacdeb07,medium
doc_000007,data/raw/dataset1/train/receipt/64_png_jpg.rf.67e41d71218b710362faa1dba4589368.jpg,invoice,jpg,126798,988,1391,300,1.0,False,,2025-10-27T19:59:46.235993,5abf584b186cadd5f57b47fb6a7eb3b6,high
doc_000008,data/raw/dataset1/train/receipt/1014-receipt_jpg.rf.c7f88557e0ab5548b4f548a7d5b17a7e.jpg,invoice,jpg,19150,416,416,300,0.33888491596742687,False,,2025-10-27T19:59:46.250279,61f9855ece748b2a592d258d29f428d1,low
doc_000009,data/raw/dataset1/train/receipt/geek68_jpg.rf.59f9ca07b1ba90aa66f22d419ec009bd.jpg,invoice,jpg,161107,1241,1754,300,1.0,False,,2025-10-27T19:59:46.401616,bf9611504ab93ff38146684eb219785d,high
doc_000010,data/raw/dataset1/train/receipt/geek100_jpg.rf.0347700e6a72b39f1ff6d3a2a7824bf1.jpg,invoice,jpg,100994,1240,1755,300,0.7408851223347115,False,,2025-10-27T19:59:46.520465,f8f35dcc13cdd4b80cd6e8b3d9e2ceb5,high
doc_000011,data/raw/dataset1/train/receipt/19_jpeg_jpg.rf.51d6ea7cf2063df8c273dc31a9d21eb2.jpg,invoice,jpg,51088,427,922,300,0.8929917217789447,False,,2025-10-27T19:59:46.547656,049611914a45052fbaadfe85add309f7,high
doc_000012,data/raw/dataset1/train/receipt/1193-receipt_jpg.rf.31394abe0b476d0fc165f92b9e109764.jpg,invoice,jpg,17268,416,416,300,0.21852344771691348,False,,2025-10-27T19:59:46.561543,aaa158e6b49026814b3879bcbccd429f,low
doc_000013,data/raw/dataset1/train/receipt/1161-receipt_jpg.rf.e83f1faa02bdab1bb82a8bb36326fcc8.jpg,invoice,jpg,17456,416,416,300,0.12945269273406865,False,,2025-10-27T19:59:46.574639,c56a30cacd56a32274fa8893bfb460cf,low
doc_000014,data/raw/dataset1/train/receipt/1075-receipt_jpg.rf.541cb531010a4a8cf4a913a37b42d463.jpg,invoice,jpg,14928,416,416,300,0.09649919944368636,True,,2025-10-27T19:59:46.587578,1e902d8f2d18eea0a8878d09e3b76efe,low
doc_000015,data/raw/dataset1/train/receipt/1009-receipt_jpg.rf.9bd41a4d040ec7a4ce294f0f5a94cec9.jpg,invoice,jpg,15159,416,416,300,0.10497439461903706,False,,2025-10-27T19:59:46.600701,c6d82bc9c8409484732f0e9cedd3c10c,low
doc_000016,data/raw/dataset1/train/receipt/1080-receipt_jpg.rf.903e94fe83e62d87cbd0e34787598124.jpg,invoice,jpg,19997,416,416,300,0.23790383349419617,False,,2025-10-27T19:59:46.614494,e86f5e077ab450d5849c72f13548fc8f,low
doc_000017,data/raw/dataset1/train/receipt/106_png_jpg.rf.f1d2dfc49b08f4b7ffc3ca581ef533c9.jpg,invoice,jpg,31307,464,814,300,0.691269167595708,False,,2025-10-27T19:59:46.639109,74473c8ba4bff1c15abbba1a65f34e1b,high
doc_000018,data/raw/dataset1/train/receipt/1165-receipt_jpg.rf.67f00d0005113158385e2f669ab7ada4.jpg,invoice,jpg,18173,416,416,300,0.20161971993778752,False,,2025-10-27T19:59:46.652497,5126a9eb532891b85174853f3b1cee2f,low
doc_000019,data/raw/dataset1/train/receipt/geek18_jpg.rf.48adff47e31ce7d821a52a7e44f7a859.jpg,invoice,jpg,200542,1241,1754,300,1.0,False,,2025-10-27T19:59:46.822263,18fe5efdde2419d0d11c1efdba1e9466,high
doc_000020,data/raw/dataset1/train/receipt/1182-receipt_jpg.rf.05a2ff02bad7235cad9d28ee7172df5c.jpg,invoice,jpg,19986,416,416,300,0.29997446489222246,False,,2025-10-27T19:59:46.836403,369f5c6c5ad3b64e64da57c7fe407790,low
doc_000021,data/raw/dataset1/train/receipt/1197-receipt_jpg.rf.7e8c314cd49a70dafe042eb1b8d7ae46.jpg,invoice,jpg,20773,416,416,300,0.35739060270336764,False,,2025-10-27T19:59:46.850312,ceb22dd02f068b7819a91a12aa9e51f3,medium
doc_000022,data/raw/dataset1/train/receipt/1080-receipt_jpg.rf.a0f3e89d55f549a3bb8d2b657388ac71.jpg,invoice,jpg,21217,416,416,300,0.3656997517940065,False,,2025-10-27T19:59:46.864642,c560dd9f506a0d8672c47a002f661076,medium
doc_000023,data/raw/dataset1/train/receipt/IMG_9599_jpeg_jpg.rf.8e14b195b0ec7958cc2d3b5c58107e8d.jpg,invoice,jpg,74579,800,800,300,0.24097985640517328,False,,2025-10-27T19:59:46.907277,9db5ed5a71d79b31084fd276a072a53f,low
doc_000024,data/raw/dataset1/train/receipt/1121-receipt_jpg.rf.4af69f2bc130d1971b4eac9948dcfe64.jpg,invoice,jpg,18934,416,416,300,0.3561959150064634,False,,2025-10-27T19:59:46.924047,84d1288b8efc37746ca067954e6ba43b,medium
doc_000025,data/raw/dataset1/train/receipt/53_png_jpg.rf.ce4292b1c9f1309dd686d20f746c83f9.jpg,invoice,jpg,90933,918,1148,300,0.1544141133892103,False,,2025-10-27T19:59:46.981464,d05e7994fa6708440007e6fa39d0db9f,low
doc_000026,data/raw/dataset1/train/receipt/1156-receipt_jpg.rf.abf46c1d1d3071e0c4345088ff9911bc.jpg,invoice,jpg,19906,416,416,300,0.4058701373872909,False,,2025-10-27T19:59:46.995527,cc88a096e54114354792b51736f979a9,medium
doc_000027,data/raw/dataset1/train/receipt/1167-receipt_jpg.rf.648e9b2065e3401be8715c0251e00f44.jpg,invoice,jpg,17324,416,416,300,0.24445473094293868,False,,2025-10-27T19:59:47.009318,4fd392479e70cd4279f2c65e738622d3,low
doc_000028,data/raw/dataset1/train/receipt/119_jpg.rf.d2d1423a4c03325d2fd7505cd42cbe40.jpg,invoice,jpg,17633,264,450,300,0.7982573047307391,False,,2025-10-27T19:59:47.020824,daa9e383d9aa416485d6c836ab488734,high
doc_000029,data/raw/dataset1/train/receipt/1002-receipt_jpg.rf.56e83d0ee696f90757fd03cd28d9bbb9.jpg,invoice,jpg,24805,416,416,300,0.2859353955228023,False,,2025-10-27T19:59:47.035875,6889498be3f137fd009d0183aabd9ae5,low
doc_000030,data/raw/dataset1/train/receipt/1116-receipt_jpg.rf.d69742ed8e4d23ce335277ca74a5a2c8.jpg,invoice,jpg,22712,416,416,300,0.6872898538284355,False,,2025-10-27T19:59:47.050950,f5f551e38caf2323db42f371907a6d39,high
